AWAY,HOME,TIME,TV,TICKETS,LOCATION,ODDS_BY,DATE
Eastern Illinois,@  Central Arkansas,7:30 PM,ESPN+,Tickets as low as $30,"Farris Center, Conway, AR",,2025-11-25
Piedmont,@  Charleston Southern,7:30 PM,ESPN+,Tickets as low as $30,"Buccaneer Fieldhouse, Charleston, SC",,2025-11-25
George Washington,@  Murray State,7:30 PM,,,"John Gray Gymnasium, George Town, Cayman Islands",,2025-11-25
TBD,@  TBD,8:00 PM,ESPN,,"Lahaina Civic Center, Maui, HI",,2025-11-25
Mississippi Valley State,@  Texas A&M,8:00 PM,SECN+,Tickets as low as $19,"Reed Arena, College Station, TX",,2025-11-25
South Carolina State,@  Missouri,8:00 PM,SECN+,Tickets as low as $12,"Mizzou Arena, Columbia, MO",,2025-11-25
Eastern Washington,@  North Texas,8:00 PM,ESPN+,Tickets as low as $17,"The Super Pit, Denton, TX",,2025-11-25
Northern Illinois,@  Austin Peay,8:00 PM,ESPN+,Tickets as low as $25,"F&M Bank Arena, Clarksville, TN",,2025-11-25
Kansas State,@  Indiana,8:00 PM,FS1,Tickets as low as $11,"Simon Skjodt Assembly Hall, Bloomington, IN",,2025-11-25
7 Michigan,@  20 Auburn,8:30 PM,,Tickets as low as $133,"Michelob ULTRA Arena, Las Vegas, NV",,2025-11-25
Winthrop,@  Nebraska,8:30 PM,BTN,Tickets as low as $7,"Pinnacle Bank Arena, Lincoln, NE",,2025-11-25
New Mexico State,@  UC Irvine,8:30 PM,,,"Hard Rock Hotel Riviera Maya, Cancun, Mexico",,2025-11-25
UTSA,@  Georgia Southern,9:00 PM,,,"John Hurst Adams Gymnasium, Jacksonville, FL",,2025-11-25
Southeast Missouri State,@  Cal Poly,9:00 PM,,,"J. Lawrence Walkup Skydome, Flagstaff, AZ",,2025-11-25
Oakland,@  Montana,9:00 PM,ESPN+,Tickets as low as $39,"Dahlberg Arena, Missoula, MT",,2025-11-25
Portland State,@  Utah Tech,9:00 PM,ESPN+,,"Burns Arena, St. George, UT",,2025-11-25
Maryland,@  21 Gonzaga,9:30 PM,truTV,Tickets as low as $133,"MGM Grand Garden Arena, Las Vegas, NV",,2025-11-25
Ole Miss,@  Iowa,9:30 PM,,,"Acrisure Arena, Palm Springs, CA",,2025-11-25
12 UCLA,@  California,10:00 PM,ESPN,Tickets as low as $81,"Chase Center, San Francisco, CA",,2025-11-25
TBD,@  TBD,10:00 PM,ESPN2,,"Lahaina Civic Center, Maui, HI",,2025-11-25
San Francisco State,@  Sacramento State,10:00 PM,,Tickets as low as $65,"Hornet Pavilion, Sacramento, CA",,2025-11-25
San Diego State,@  Oregon,11:00 PM,,Tickets as low as $133,"Michelob ULTRA Arena, Las Vegas, NV",,2025-11-25
UNLV,@  15 Alabama,11:59 PM,,Tickets as low as $133,"MGM Grand Garden Arena, Las Vegas, NV",,2025-11-25
Utah,@  Grand Canyon,11:59 PM,,,"Acrisure Arena, Palm Springs, CA",,2025-11-25
TBD,@  TBD,TBD,,,,,2025-11-26
TBD,@  TBD,TBD,,,,,2025-11-26
TBD,@  TBD,TBD,,,,,2025-11-26
TBD,@  TBD,TBD,,,,,2025-11-26
TBD,@  TBD,TBD,,,,,2025-11-26
TBD,@  TBD,TBD,,,,,2025-11-26
TBD,@  TBD,TBD,,,,,2025-11-26
College Of Biblical Studies,@  Texas Southern,TBD,,,"H&PE Arena, Houston, TX",,2025-11-26
TBD,@  TBD,11:00 AM,,,"Alico Arena, Fort Myers, FL",,2025-11-26
VMI,@  Bowling Green,11:00 AM,,Tickets as low as $82,"Suncoast Credit Union Arena, Fort Myers, FL",,2025-11-26
Mercy,@  Bryant,11:00 AM,ESPN+,Tickets as low as $59,"Chace Athletic Center, Smithfield, RI",,2025-11-26
TBD,@  TBD,12:00 PM,,,"State Farm Field House, Kissimmee, FL",,2025-11-26
Misericordia,@  Cornell,12:00 PM,ESPN+,,"Newman Arena, Ithaca, NY",,2025-11-26
Western Kentucky,@  Vanderbilt,12:00 PM,,,"Imperial Arena, Nassau, Bahamas",,2025-11-26
UMass Lowell,@  Stonehill,12:00 PM,,Tickets as low as $20,"Merkert Gymnasium, South Easton, MA",,2025-11-26
New Orleans,@  10 Texas Tech,1:00 PM,ESPN+,Tickets as low as $12,"United Supermarkets Arena, Lubbock, TX",,2025-11-26
Columbia International,@  Presbyterian,1:00 PM,ESPN+,Tickets as low as $47,"Templeton Center, Clinton, SC",,2025-11-26
Brown,@  New Hampshire,1:00 PM,ESPN+,,"Lundholm Gymnasium, Durham, NH",,2025-11-26
TBD,@  TBD,1:30 PM,,,"Alico Arena, Fort Myers, FL",,2025-11-26
Buffalo,@  Bucknell,1:30 PM,,Tickets as low as $82,"Suncoast Credit Union Arena, Fort Myers, FL",,2025-11-26
TBD,@  TBD,2:00 PM,,,"Acrisure Arena, Palm Springs, CA",,2025-11-26
UNC Greensboro,@  Miami (OH),2:00 PM,,,"John Hurst Adams Gymnasium, Jacksonville, FL",,2025-11-26
Omaha,@  Florida International,2:00 PM,ESPN+,Tickets as low as $20,"Ocean Bank Convocation Center, Miami, FL",,2025-11-26
App State,@  Mercer,2:00 PM,ESPN+,,"Hawkins Arena, Macon, GA",,2025-11-26
UIC,@  Robert Morris,2:00 PM,ESPN+,Tickets as low as $8,"UPMC Events Center, Moon Township, PA",,2025-11-26
Wofford,@  Northern Kentucky,2:00 PM,ESPN+,Tickets as low as $31,"Truist Arena, Highland Heights, KY",,2025-11-26
Worcester State,@  Holy Cross,2:00 PM,ESPN+,Tickets as low as $55,"Hart Center, Worcester, MA",,2025-11-26
Army,@  Fairleigh Dickinson,2:00 PM,,,"Bogota Savings Bank Center, Hackensack, NJ",,2025-11-26
Virginia St,@  Delaware State,2:30 PM,,,"CareFirst Arena, Washington, DC",,2025-11-26
TBD,@  TBD,2:30 PM,,,"Lahaina Civic Center, Maui, HI",,2025-11-26
TBD,@  TBD,2:30 PM,,,"State Farm Field House, Kissimmee, FL",,2025-11-26
VCU,@  South Florida,2:30 PM,ESPN2,,"Imperial Arena, Nassau, Bahamas",,2025-11-26
Texas Lutheran,@  Incarnate Word,3:00 PM,ESPN+,Tickets as low as $14,"McDermott Center, San Antonio, TX",,2025-11-26
North Dakota State,@  Jacksonville State,3:00 PM,,,"First National Bank Arena, Jonesboro, AR",,2025-11-26
Southern Indiana,@  Valparaiso,3:00 PM,,Tickets as low as $66,"Athletics-Recreation Center, Valparaiso, IN",,2025-11-26
Georgia State,@  New Mexico State,3:00 PM,,,"Hard Rock Hotel Riviera Maya, Cancun, Mexico",,2025-11-26
Lipscomb,@  Marshall,4:00 PM,ESPN+,Tickets as low as $48,"Cam Henderson Center, Huntington, WV",,2025-11-26
Navy,@  Gardner-Webb,4:00 PM,,,"Trask Coliseum, Wilmington, NC",,2025-11-26
Harvard,@  Boston College,4:00 PM,,Tickets as low as $6,"Conte Forum, Chestnut Hill, MA",,2025-11-26
TBD,@  TBD,4:30 PM,,,"Acrisure Arena, Palm Springs, CA",,2025-11-26
Oral Roberts,@  Rice,4:30 PM,,,"Alico Arena, Fort Myers, FL",,2025-11-26
TBD,@  TBD,5:00 PM,ESPN+,,"State Farm Field House, Kissimmee, FL",,2025-11-26
Wagner,@  Manhattan,5:00 PM,ESPN+,,"Draddy Gymnasium, Riverdale, NY",,2025-11-26
Colorado State,@  Virginia Tech,5:00 PM,,,"Imperial Arena, Nassau, Bahamas",,2025-11-26
TBD,@  TBD,5:30 PM,,,"Lahaina Civic Center, Maui, HI",,2025-11-26
Samford,@  Utah Valley,6:00 PM,,,"Hard Rock Hotel Riviera Maya, Cancun, Mexico",,2025-11-26
Northern Colorado,@  Air Force,6:00 PM,,Tickets as low as $16,"Clune Arena, Colorado Springs, CO",,2025-11-26
Central State (OH),@  Duquesne,6:00 PM,ESPN+,Tickets as low as $30,"UPMC Cooper Fieldhouse, Pittsburgh, PA",,2025-11-26
Sam Houston,@  Idaho State,6:30 PM,,Tickets as low as $29,"Idaho Central Arena, Boise, ID",,2025-11-26
Tennessee Tech,@  9 Kentucky,7:00 PM,SEC Network,Tickets as low as $38,"Rupp Arena, Lexington, KY",,2025-11-26
TBD,@  TBD,7:00 PM,,,,,2025-11-26
St. Mary's (MD),@  Howard,7:00 PM,ESPN+,,"Burr Gymnasium, Washington, DC",,2025-11-26
Houston Christian,@  The Citadel,7:00 PM,ESPN+,Tickets as low as $32,"McAlister Field House, Charleston, SC",,2025-11-26
Pepperdine,@  Fresno State,7:00 PM,,,"Acrisure Arena, Palm Springs, CA",,2025-11-26
SE Louisiana,@  UNC Wilmington,7:00 PM,,Tickets as low as $13,"Trask Coliseum, Wilmington, NC",,2025-11-26
Kennesaw State,@  Florida Gulf Coast,7:00 PM,,Tickets as low as $34,"Alico Arena, Fort Myers, FL",,2025-11-26
Eastern Michigan,@  Cincinnati,7:00 PM,ESPN+,Tickets as low as $6,"Fifth Third Arena, Cincinnati, OH",,2025-11-26
Columbia,@  Fairfield,7:00 PM,ESPN+,Tickets as low as $47,"Leo D. Mahoney Arena, Fairfield, CT",,2025-11-26
TBD,@  TBD,7:30 PM,,,"State Farm Field House, Kissimmee, FL",,2025-11-26
